All Star,Smash Mouth,Pop,03:56
I’m A Believer,Smash Mouth,Pop,03:02
Why Can’t We Be Friends,Smash Mouth,Pop,03:13
Fireflies,Owl City,Pop,03:53
Good Time,Owl City,Pop,03:27
Someone Like You,Adele,Pop,04:44
Wonderwall,Oasis,Rock,04:39
Supersonic,Oasis,Rock,04:30
Morning Glory,Oasis,Rock,04:18
Don’t Look Back In Anger,Oasis,Rock,04:47
Times Like These,Foo Fighters,Rock,03:50
The Pretender,Foo Fighters,Rock,04:30
Rap God,Eminem,Rap,06:09
Without Me,Eminem,Rap,04:59
Lose Yourself,Eminem,Rap,05:23
Stan,Eminem,Rap,06:03
Not Afraid,Eminem,Rap,04:19
Blood In The Water,Witt Lowry,Rap,03:34
Three Little Birds,Bob Marley,Reggae,03:00
Buffalo Soldier,Bob Marley,Reggae,02:42
